fold,mae,rmse,r2
1,0.13541347158609685,0.23729934959082477,0.7089571227687823
2,0.12876480099121532,0.2116421068441129,0.7800384669407744
3,0.10831798122439293,0.18363514099578782,0.793308818515882
4,0.11532171726683692,0.1963162637242903,0.789827508624143
5,0.12900265554532922,0.21623032027302969,0.6622336839780113
overall,0.12336338282472017,0.20981851974580235,0.7509059235528541
