fold,mae,rmse,r2
1,0.13240838719125386,0.22541845073624914,0.7373709278038836
2,0.1218436176615888,0.201445095712145,0.8007235477781884
3,0.11293931828684267,0.19552852568294865,0.76566853048538
4,0.12250421356863601,0.2062973000770394,0.7679132222743537
5,0.1305674566987507,0.21712368002944357,0.6594369405261302
overall,0.12405259868141441,0.20916261044756515,0.7462226337735871
