n_feat,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
50,A: Composition + Temperature,0.13406653308008276,0.0012524475700218885,0.22348351121895096,0.00848735560165492,0.7157043163736434,0.015550208231541402
50,B: Composition + Temperature + Structure,0.14082616302773782,0.004995235010209726,0.23436127612536187,0.0110247337918836,0.6860473166627793,0.03606418046769693
100,A: Composition + Temperature,0.13036440949327577,0.0042044226830937545,0.22253621726369724,0.016505705281669614,0.7170094778252954,0.03828677431397603
100,B: Composition + Temperature + Structure,0.13523467910373296,0.007099792312126991,0.22471171551242364,0.012799590923619389,0.7111598008353441,0.037754500345973184
150,A: Composition + Temperature,0.09816104739071914,0.00868186938040383,0.17099469659515457,0.01877552768877268,0.8334133342775936,0.026035212175490183
150,B: Composition + Temperature + Structure,0.10240026554257509,0.007838583646524027,0.17399023904270847,0.013926212575847504,0.8277091616950065,0.01921368914268921
