fold,mae,rmse,r2
1,0.13331463143902422,0.22720592863678277,0.733189327664004
2,0.12360441222459184,0.20527406524570235,0.793076054058939
3,0.11339884625264605,0.19413962381002392,0.7689857700565104
4,0.12457936585714253,0.2125664112891386,0.7535932551414459
5,0.12990748492232157,0.21626557392693885,0.6621235360409277
overall,0.12496094813914524,0.2110903205817173,0.7421935885923654
