composition,minimum CN_VoronoiNN,maximum CN_VoronoiNN,range CN_VoronoiNN,mean CN_VoronoiNN,avg_dev CN_VoronoiNN,spacegroup_num,crystal_system,crystal_system_int,is_centrosymmetric,n_symmetry_ops,density,vpa,packing fraction
Ag0.01Cu1.965S0.5Se0.5_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893485,9.971817977428946,1.9718179775354612,9.314545318200231,0.8763635455378301,160,trigonal,3,False,24,4.738277038873865,21.331375935662052,0.40459489864508336
Ag0.01Cu1.965S0.5Se0.5_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989332,9.971811232772206,1.9718112327828736,9.314540821839282,0.876360547899966,160,trigonal,3,False,24,4.041738093133902,25.007550334653875,0.34511840500785346
Ag0.01Cu1.965S0.5Se0.5_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430431937665,13.16415928098807,3.5847288490504052,10.774342207619533,1.5932093534523013,187,hexagonal,2,False,96,7.266325635969527,13.909914565788377,0.6204614588989895
Ag0.01Sn0.99Se0.65S0.35_generalized_grouping_grouped_from_agm002068072_rank_3,7.80451602453066,10.247049694187456,2.4425336696567967,9.02576205345484,1.221239377850751,164,trigonal,3,True,24,4.925245763410964,30.357585667201587,0.3017777583651486
Ag0.01Sn0.99Se0.65S0.35_generalized_grouping_grouped_from_oqmd-5395345_rank_2,9.646113141270112,9.660429604919027,0.0143164636489157,9.653267507269241,0.007143811451440829,187,hexagonal,2,False,24,6.6040002701037555,22.64060631124428,0.40463775687297726
Ag0.01Sn0.99Se0.85S0.15_generalized_grouping_grouped_from_agm002068072_rank_3,7.80451602453066,10.247049694187456,2.4425336696567967,9.025762053454843,1.2212393778507515,164,trigonal,3,True,24,5.2458862965987505,30.357585667201587,0.31076165831126396
Ag0.01Sn0.99Se0.85S0.15_generalized_grouping_grouped_from_oqmd-5395345_rank_2,9.646113141270112,9.660429604919031,0.014316463648919253,9.653267507269243,0.007143811451442161,187,hexagonal,2,False,24,7.03393011919049,22.64060631124428,0.4166837908214726
Ag0.01Sn0.99Se0.8S0.2_generalized_grouping_grouped_from_agm002068072_rank_3,7.80451602453066,10.247049694187453,2.442533669656793,9.02576205345484,1.2212393778507513,12,monoclinic,6,True,4,5.165726163301804,30.357585667201587,0.3085156833247351
Ag0.01Sn0.99Se0.8S0.2_generalized_grouping_grouped_from_oqmd-5395345_rank_2,9.646113141270112,9.660429604919031,0.014316463648919253,9.653267507269243,0.007143811451442161,38,orthorhombic,5,False,4,6.926447656918808,22.64060631124428,0.4136722823343487
Ag0.01Sn0.99Se0.9S0.1_generalized_grouping_grouped_from_agm002068072_rank_3,7.80451602453066,10.247049694187456,2.4425336696567967,9.025762053454843,1.2212393778507515,164,trigonal,3,True,24,5.2458862965987505,30.357585667201587,0.31076165831126396
