model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,rows,Temperature_K_included,identical_splits
A: Composition + Temperature,0.1346770750616269,0.0034816002350603003,0.22915350160846404,0.008572229155353925,0.7001655936467032,0.02774144529916406,7594,YES,CONFIRMED ✅
B: Composition + Temperature + Structure,0.14094149270651854,0.005025094707712114,0.22822450312737433,0.008781744317591432,0.70217091064864,0.03231814067927032,7594,YES,CONFIRMED ✅
