fold,mae,rmse,r2
1,0.13536783300390848,0.22796261357619155,0.7314091989983
2,0.12304442952807897,0.2029185380682554,0.7977977261519852
3,0.10434791807459273,0.17677946727112753,0.8084535956964856
4,0.11358655609812653,0.20587712169875402,0.76885766929059
5,0.13006420039361402,0.2143658030192603,0.6680335728979315
overall,0.12128103097866151,0.20626667705181526,0.7592679541182095
