epoch,train loss,val loss,swa
0.0,0.312143323500158,0.2965704249891322,n
19.0,0.050510993915538975,0.1298705814189141,y
39.0,0.03559079810157676,0.12494516378546111,y
59.0,0.029869758237333822,0.12527627034097216,y
79.0,0.027237157613389983,0.12405459521402329,y
99.0,0.025540863730566153,0.12116627226863338,y
119.0,0.024307490065857428,0.12128839607579583,y
139.0,0.023307389841973152,0.12078789906381035,y
159.0,0.022704823144634647,0.12120021489923337,y
179.0,0.02204566088548298,0.12442731102245358,y
199.0,0.0214513523734455,0.12123679031286191,y
