epoch,train loss,val loss,swa
0.0,0.3104118443760835,0.26479161990568784,n
19.0,0.0488025161231465,0.12921022761299547,y
39.0,0.0336080714289149,0.12470000491384067,y
59.0,0.027788221819347217,0.12458587514299602,y
79.0,0.024582419072948825,0.12298476086897862,y
99.0,0.022869255467027807,0.12503770262900957,y
119.0,0.021370792829793633,0.1236194766122074,y
139.0,0.020847397094506438,0.12226732726496699,y
159.0,0.01987389030773602,0.12073025228044594,y
179.0,0.019008572286934235,0.12337148849585511,y
