epoch,train loss,val loss,swa
0.0,0.31130441517936464,0.29254013318876276,n
19.0,0.06407299290481348,0.13444532298610784,y
39.0,0.040033042186743785,0.1282298232396199,y
59.0,0.03169390511946931,0.12354080756750883,y
79.0,0.028428089456396154,0.12172968742833673,y
99.0,0.025789768541058432,0.12005497014935991,y
119.0,0.024130794856610117,0.11913129181508604,y
139.0,0.022450831771593318,0.11774416302795368,y
159.0,0.021702065281455265,0.11817432141381778,y
179.0,0.020850351764198898,0.1181222701293702,y
199.0,0.020002542982821437,0.11860872127524952,y
219.0,0.019022996074086612,0.11554977845005246,y
239.0,0.019042486889914577,0.11809192259760597,y
