epoch,train loss,val loss,swa
0.0,0.3077773687022675,0.31702218972623813,n
19.0,0.17635477420996312,0.21856653674779064,y
39.0,0.17062675480461098,0.21261280047314485,y
59.0,0.1687849005057808,0.21168079353999728,y
79.0,0.16792481064756562,0.2083999830170197,y
99.0,0.16737112334763668,0.2094514418458879,y
119.0,0.16705714814931497,0.20969921556771998,y
139.0,0.1669022026653378,0.20732249190099605,y
159.0,0.16663610383009983,0.20964012852544367,y
179.0,0.16665324659154157,0.20999053138998383,y
199.0,0.16671379122885002,0.21247589383914434,y
