epoch,train loss,val loss,swa
0.0,0.3151178744456942,0.3000893908849415,n
19.0,0.0657559679168214,0.12811760315461154,y
39.0,0.04093100771411329,0.11872489115277031,y
59.0,0.03280703089592967,0.1157420686669345,y
79.0,0.028881382264372184,0.11508190427489967,y
99.0,0.02695439528831647,0.11221160863241102,y
119.0,0.025811632168528786,0.11255570830371475,y
139.0,0.024567310622379008,0.11089320058114131,y
159.0,0.023573339343632996,0.11077300786798867,y
179.0,0.022729843046510826,0.10906933870781677,y
199.0,0.021943111623248156,0.11053632546405515,y
219.0,0.021378810023938353,0.10986443462219787,y
239.0,0.02101816860071405,0.11076157258490191,y
