epoch,train loss,val loss,swa
0.0,0.31838347974518044,0.3395181116150046,n
19.0,0.06438906644874605,0.11487012443128157,y
39.0,0.0415269612192074,0.09993417114915294,y
59.0,0.03399721838707353,0.09740540816387201,y
79.0,0.030756791996633396,0.09611899806464826,y
99.0,0.028524340790948954,0.09100252035316447,y
119.0,0.026922879239379183,0.08897951961737494,y
139.0,0.02587549274646666,0.09056606640192782,y
159.0,0.02500090568214543,0.08977857240325016,y
179.0,0.024364281420332024,0.09007092865273679,y
199.0,0.023603528040645902,0.09019208743529857,y
219.0,0.02341676960085013,0.08876355810483219,y
